ncsim(64): 15.20-s031: (c) Copyright 1995-2017 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm Wallce_tb.a Wallce_tb.b Wallce_tb.i Wallce_tb.j Wallce_tb.op
Created probe 1
ncsim> run
14 x 14 = op = 196
14 x 15 = op = 210
15 x  0 = op =   0
15 x  1 = op =  15
15 x  2 = op =  30
15 x  3 = op =  45
15 x  4 = op =  60
15 x  5 = op =  75
15 x  6 = op =  90
15 x  7 = op = 105
15 x  8 = op = 120
15 x  9 = op = 135
15 x 10 = op = 150
15 x 11 = op = 165
15 x 12 = op = 180
15 x 13 = op = 195
15 x 14 = op = 210
15 x 15 = op = 225
ncsim: *W,RNQUIE: Simulation is complete.
ncsim> ^C
ncsim> exit
...Regained control from SimVision
-------------------------------------
ncsim: Memory Usage - 36.4M program + 160.3M data = 196.7M total (200.3M Peak)
ncsim: CPU Usage - 2.1s system + 0.5s user = 2.6s total (129.7s, 2.0% cpu)
